x;y;kn;p;m;grainMass
0,8025;127,079;114,4873;13,7034;0,1155;214,792
0,8104;127,5544;115,002;13,7509;0,1159;213,8757
0,8183;128,0294;115,5166;13,7984;0,1163;212,9554
0,8262;128,504;116,0312;13,8458;0,1167;212,0309
0,8341;128,9783;116,5458;13,8932;0,1171;211,1023
0,842;129,4523;117,0604;13,9405;0,1175;210,1696
0,8499;129,9259;117,5751;13,9877;0,1179;209,2328
0,8579;130,3991;118,0897;14,035;0,1183;208,2919
0,8657;132,676;118,6043;14,2619;0,12;207,3469
0,8735;133,3905;119,1189;14,3331;0,1208;206,3978
0,8813;134,0094;119,6335;14,3947;0,1213;205,4446
0,8892;134,6225;120,1481;14,4557;0,1218;204,4872
0,897;135,2354;120,6628;14,5166;0,1223;203,5258
0,9048;135,8484;121,1774;14,5776;0,1228;202,5602
0,9127;136,4617;121,692;14,6385;0,1233;201,5905
0,9205;137,0751;122,2066;14,6995;0,1239;200,6168
0,9283;137,6887;122,7212;14,7604;0,1244;199,6389
0,9362;138,3024;123,2358;14,8214;0,1249;198,6569
0,944;138,9164;123,7505;14,8823;0,1254;197,6708
0,9518;139,5305;124,2651;14,9432;0,1259;196,6806
0,9597;140,1448;124,7797;15,0041;0,1264;195,6862
0,9675;140,7592;125,2943;15,065;0,1269;194,6878
0,9754;141,3739;125,8089;15,126;0,1275;193,6853
0,9832;141,9887;126,3236;15,1869;0,128;192,6786
0,991;142,6036;126,8382;15,2478;0,1285;191,6678
0,9989;143,2257;127,3528;15,3086;0,129;190,653
1,0067;143,8551;127,8674;15,3695;0,1295;189,634
1,0145;144,4844;128,382;15,4304;0,13;188,6109
1,0224;145,1136;128,8966;15,4913;0,1305;187,5837
1,0302;145,7428;129,4113;15,5522;0,1311;186,5524
1,0381;146,372;129,9259;15,613;0,1316;185,517
1,0459;147,0011;130,4405;15,6739;0,1321;184,4775
1,0537;147,6301;130,9551;15,7348;0,1326;183,4338
1,0616;148,2591;131,4697;15,7956;0,1331;182,3861
1,0694;148,8881;131,9844;15,8565;0,1336;181,3342
1,0773;149,5169;132,499;15,9173;0,1341;180,2783
1,0851;150,1458;133,0136;15,9781;0,1346;179,2182
1,0929;150,7746;133,5282;16,039;0,1352;178,154
1,1008;151,4033;134,0428;16,0998;0,1357;177,0857
1,1086;152,032;134,5574;16,1606;0,1362;176,0133
1,1165;152,6606;135,0721;16,2214;0,1367;174,9368
1,1243;153,2892;135,5867;16,2822;0,1372;173,8562
1,1322;153,9177;136,1013;16,343;0,1377;172,7714
1,14;154,5462;136,6159;16,4038;0,1382;171,6826
1,1478;155,1747;137,1305;16,4646;0,1388;170,5897
1,1557;155,803;137,6452;16,5254;0,1393;169,4926
1,1635;156,4314;138,1598;16,5862;0,1398;168,3914
1,1714;157,0596;138,6744;16,647;0,1403;167,2862
1,1792;157,6879;139,189;16,7078;0,1408;166,1768
1,1871;158,316;139,7036;16,7686;0,1413;165,0633
1,1949;158,9442;140,2182;16,8293;0,1418;163,9457
1,2028;159,5723;140,7329;16,8901;0,1423;162,824
1,2106;160,2003;141,2475;16,9508;0,1429;161,6982
1,2185;160,8283;141,7621;17,0116;0,1434;160,5682
1,2263;161,4562;142,2767;17,0723;0,1439;159,4342
1,2342;162,0841;142,7913;17,1331;0,1444;158,296
1,242;162,7119;143,3059;17,1938;0,1449;157,1538
1,2498;163,3397;143,8206;17,2546;0,1454;156,0074
1,2577;163,9674;144,3352;17,3153;0,1459;154,8569
1,2655;164,5951;144,8498;17,376;0,1464;153,7023
1,2734;165,2227;145,3644;17,4367;0,147;152,5436
1,2812;165,8503;145,879;17,4975;0,1475;151,3808
1,2891;166,4779;146,3937;17,5582;0,148;150,2139
1,2969;167,1054;146,9083;17,6189;0,1485;149,0429
1,3048;167,7328;147,4229;17,6796;0,149;147,8678
1,3127;168,3602;147,9375;17,7403;0,1495;146,6885
1,3205;168,9875;148,4521;17,801;0,15;145,5052
1,3284;169,6148;148,9667;17,8617;0,1505;144,3177
1,3362;170,2421;149,4814;17,9223;0,1511;143,1261
1,3441;170,8693;149,996;17,983;0,1516;141,9305
1,3519;171,4964;150,5106;18,0437;0,1521;140,7307
1,3598;172,1235;151,0252;18,1044;0,1526;139,5268
1,3676;172,7506;151,5398;18,165;0,1531;138,3188
1,3755;173,3776;152,0545;18,2257;0,1536;137,1067
1,3833;174,0046;152,5691;18,2863;0,1541;135,8904
1,3912;174,6315;153,0837;18,347;0,1546;134,6701
1,399;175,2584;153,5983;18,4076;0,1551;133,4457
1,4069;175,8852;154,1129;18,4683;0,1557;132,2171
1,4147;176,5119;154,6275;18,5289;0,1562;130,9844
1,4226;177,1387;155,1422;18,5895;0,1567;129,7477
1,4305;177,7654;155,6568;18,6502;0,1572;128,5068
1,4383;178,392;156,1714;18,7108;0,1577;127,2618
1,4462;179,0186;156,686;18,7714;0,1582;126,0127
1,454;179,6451;157,2006;18,832;0,1587;124,7595
1,4619;180,2716;157,7152;18,8926;0,1592;123,5022
1,4697;180,898;158,2299;18,9532;0,1597;122,2407
1,4776;181,5244;158,7445;19,0138;0,1603;120,9752
